driver_id,first_name,last_name,nationality,dob,url
ader,Walt,Ader,American,1913-12-15,http://en.wikipedia.org/wiki/Walt_Ader
agabashian,Fred,Agabashian,American,1913-08-21,http://en.wikipedia.org/wiki/Fred_Agabashian
ascari,Alberto,Ascari,Italian,1918-07-13,http://en.wikipedia.org/wiki/Alberto_Ascari
banks,Henry,Banks,American,1913-06-14,http://en.wikipedia.org/wiki/Henry_Banks
bettenhausen,Tony,Bettenhausen,American,1916-09-12,http://en.wikipedia.org/wiki/Tony_Bettenhausen
biondetti,Clemente,Biondetti,Italian,1898-08-18,http://en.wikipedia.org/wiki/Clemente_Biondetti
bira,Prince,Bira,Thai,1914-07-15,http://en.wikipedia.org/wiki/Prince_Bira
bonetto,Felice,Bonetto,Italian,1903-06-09,http://en.wikipedia.org/wiki/Felice_Bonetto
branca,Toni,Branca,Swiss,1916-09-15,http://en.wikipedia.org/wiki/Toni_Branca
walt_brown,Walt,Brown,American,1911-12-30,http://en.wikipedia.org/wiki/Walt_Brown_(auto_racer)
cabantous,Yves,Cabantous,French,1904-10-08,http://en.wikipedia.org/wiki/Yves_Giraud_Cabantous
cantrell,Bill,Cantrell,American,1908-01-31,http://en.wikipedia.org/wiki/William_Cantrell
darter,Duane,Carter,American,1913-05-05,http://en.wikipedia.org/wiki/Duane_Carter
chaboud,Eugène,Chaboud,French,1907-04-12,http://en.wikipedia.org/wiki/Eug%C3%A8ne_Chaboud
chiron,Louis,Chiron,Monegasque,1899-08-03,http://en.wikipedia.org/wiki/Louis_Chiron
chitwood,Joie,Chitwood,American,1912-04-14,http://en.wikipedia.org/wiki/Joie_Chitwood
claes,Johnny,Claes,Belgian,1916-08-11,http://en.wikipedia.org/wiki/Johnny_Claes
comotti,Franco,Comotti,Italian,1906-07-24,http://en.wikipedia.org/wiki/Franco_Comotti
george_connor,George,Connor,American,1906-08-16,http://en.wikipedia.org/wiki/George_Connor_(driver)
crossley,Geoff,Crossley,British,1921-05-11,http://en.wikipedia.org/wiki/Geoff_Crossley
davies,Jimmy,Davies,American,1929-08-08,http://en.wikipedia.org/wiki/Jimmy_Davies
graffenried,Toulo,de Graffenried,Swiss,1914-05-18,http://en.wikipedia.org/wiki/Toulo_de_Graffenried
dinsmore,Duke,Dinsmore,American,1913-04-10,http://en.wikipedia.org/wiki/Duke_Dinsmore
etancelin,Philippe,Étancelin,French,1896-12-28,http://en.wikipedia.org/wiki/Philippe_%C3%89tancelin
fagioli,Luigi,Fagioli,Italian,1898-06-09,http://en.wikipedia.org/wiki/Luigi_Fagioli
fangio,Juan,Fangio,Argentine,1911-06-24,http://en.wikipedia.org/wiki/Juan_Manuel_Fangio
farina,Nino,Farina,Italian,1906-10-30,http://en.wikipedia.org/wiki/Nino_Farina
faulkner,Walt,Faulkner,American,1920-02-16,http://en.wikipedia.org/wiki/Walt_Faulkner
flaherty,Pat,Flaherty,American,1926-01-06,http://en.wikipedia.org/wiki/Pat_Flaherty_(racing_driver)
fohr,Myron,Fohr,American,1912-06-17,http://en.wikipedia.org/wiki/Myron_Fohr
abecassis,George,Abecassis,British,1913-03-21,http://en.wikipedia.org/wiki/George_Abecassis
agabashian,Fred,Agabashian,American,1913-08-21,http://en.wikipedia.org/wiki/Fred_Agabashian
ascari,Alberto,Ascari,Italian,1918-07-13,http://en.wikipedia.org/wiki/Alberto_Ascari
ayulo,Manny,Ayulo,American,1921-10-20,http://en.wikipedia.org/wiki/Manny_Ayulo
ball,Bobby,Ball,American,1925-08-26,http://en.wikipedia.org/wiki/Bobby_Ball_(auto_racer)
