constructor_id,name,nationality,url
adams,Adams,American,http://en.wikipedia.org/wiki/Adams_(constructor)
alfa,Alfa Romeo,Swiss,http://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One
alta,Alta,British,http://en.wikipedia.org/wiki/Alta_auto_racing_team
cooper,Cooper,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
deidt,Deidt,American,http://en.wikipedia.org/wiki/Deidt
era,ERA,British,http://en.wikipedia.org/wiki/English_Racing_Automobiles
ewing,Ewing,American,http://en.wikipedia.org/wiki/Ewing_(constructor)
ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari
kurtis_kraft,Kurtis Kraft,American,http://en.wikipedia.org/wiki/Kurtis_Kraft
langley,Langley,American,http://en.wikipedia.org/wiki/Langley_(constructor)
lesovsky,Lesovsky,American,http://en.wikipedia.org/wiki/Lesovsky
marchese,Marchese,American,http://en.wikipedia.org/wiki/Marchese_(constructor)
maserati,Maserati,Italian,http://en.wikipedia.org/wiki/Maserati
milano,Milano,Italian,http://en.wikipedia.org/wiki/Scuderia_Milano
moore,Moore,American,http://en.wikipedia.org/wiki/Moore_(constructor)
nichels,Nichels,American,http://en.wikipedia.org/wiki/Nichels
olson,Olson,American,http://en.wikipedia.org/wiki/Olson_(constructor)
rae,Rae,American,http://en.wikipedia.org/wiki/Rae_(motorsport)
simca,Simca,French,http://en.wikipedia.org/wiki/Simca
snowberger,Snowberger,American,http://en.wikipedia.org/wiki/Snowberger
stevens,Stevens,American,http://en.wikipedia.org/wiki/Stevens_(constructor)
lago,Talbot-Lago,French,http://en.wikipedia.org/wiki/Talbot-Lago
watson,Watson,American,http://en.wikipedia.org/wiki/A.J._Watson
wetteroth,Wetteroth,American,http://en.wikipedia.org/wiki/Wetteroth
alfa,Alfa Romeo,Swiss,http://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One
alta,Alta,British,http://en.wikipedia.org/wiki/Alta_auto_racing_team
brm,BRM,British,http://en.wikipedia.org/wiki/BRM
bromme,Bromme,American,http://en.wikipedia.org/wiki/Bromme
deidt,Deidt,American,http://en.wikipedia.org/wiki/Deidt
era,ERA,British,http://en.wikipedia.org/wiki/English_Racing_Automobiles
ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari
hall,Hall,American,http://en.wikipedia.org/wiki/Hall_(constructor)
hwm,HWM,British,http://en.wikipedia.org/wiki/Hersham_and_Walton_Motors
kurtis_kraft,Kurtis Kraft,American,http://en.wikipedia.org/wiki/Kurtis_Kraft
kuzma,Kuzma,American,http://en.wikipedia.org/wiki/Kuzma_(constructor)
lesovsky,Lesovsky,American,http://en.wikipedia.org/wiki/Lesovsky
marchese,Marchese,American,http://en.wikipedia.org/wiki/Marchese_(constructor)
maserati,Maserati,Italian,http://en.wikipedia.org/wiki/Maserati
moore,Moore,American,http://en.wikipedia.org/wiki/Moore_(constructor)
